company_name,company_slug,fiscal_year,official_doc_type,official_doc_type_label,selected_canonical_document_id,sha256,source_title,source_url,source_path,final_path,validation_status,selection_status,selection_reason,selection_score,page_count,detected_years,company_name_detected_in_text,validation_status_merged,audit_bucket,audit_priority,final_file_exists,probable_language,technical_validation_status,is_pdf_header_valid,file_size_mb,validation_notes
LVMH,lvmh,2024,08_anticorruption_policy,Anti-corruption policy,canonical_db6142903df0673a6788d426,72d17e868769c4559f7fdb6d064fae0d7bbf774110da8234a7b3383dd6653757,,,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\08_anticorruption_policy\canonical-db6142903df0673a6788d426\document.pdf,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\lvmh\2024\08_anticorruption_policy\document.pdf,likely_wrong_company,selected_needs_review,selected_only_available_candidate_but_likely_wrong_company,330.0,11,"[2003, 2016, 2018, 2024]",False,likely_wrong_company,QUARANTINE_LIKELY_WRONG_COMPANY,1,True,unknown,valid_pdf,True,0.6343,"[""Nom de l'entreprise non detecte dans l'echantillon.""]"
LVMH,lvmh,2024,11_environmental_policy,Environmental policy,canonical_a092d83018c5d53b074e87e0,f9fc9f8d8cc014eb059ca6adebf141b2db9f4365acb839d9f149ce6330e5bdf4,,,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\11_environmental_policy\canonical-a092d83018c5d53b074e87e0\document.pdf,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\lvmh\2024\11_environmental_policy\document.pdf,likely_wrong_company,selected_needs_review,selected_only_available_candidate_but_likely_wrong_company,305.0,11,"[2030, 2045]",False,likely_wrong_company,QUARANTINE_LIKELY_WRONG_COMPANY,1,True,unknown,valid_pdf,True,1.1534,"[""Nom de l'entreprise non detecte dans l'echantillon.""]"
LVMH,lvmh,2024,12_supplier_code_of_conduct,Supplier code of conduct,canonical_fa44ab9377ed882a0cd72866,e587fc8f00f85c7a16c98fc231918507e0e77beaeaa6979e35e9af09f2261533,,,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\12_supplier_code_of_conduct\canonical-fa44ab9377ed882a0cd72866\document.pdf,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\lvmh\2024\12_supplier_code_of_conduct\document.pdf,likely_wrong_company,selected_needs_review,selected_only_available_candidate_but_likely_wrong_company,305.0,5,[2019],False,likely_wrong_company,QUARANTINE_LIKELY_WRONG_COMPANY,1,True,unknown,valid_pdf,True,0.3323,"[""Nom de l'entreprise non detecte dans l'echantillon.""]"
LVMH,lvmh,2024,14_earnings_call_transcripts,Earnings call transcripts,canonical_b776f276bbe7d022862ef6c5,539e75ccbf37782bb95f6b0d461d50cf615c40798d8a6746f3aeb4915f9e3c8c,,,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\14_earnings_call_transcripts\canonical-b776f276bbe7d022862ef6c5\document.pdf,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\lvmh\2024\14_earnings_call_transcripts\document.pdf,likely_wrong_company,selected_needs_review,selected_only_available_candidate_but_likely_wrong_company,305.0,14,[2025],False,likely_wrong_company,QUARANTINE_LIKELY_WRONG_COMPANY,1,True,unknown,valid_pdf,True,0.2563,"[""Nom de l'entreprise non detecte dans l'echantillon.""]"
LVMH,lvmh,2024,19_third_party_assurance_report,Third-party assurance report,canonical_a926eb0b05f78bcfa4a232f7,25b27a8258de98fe7d8f2d09a71fe9b6392067e2166a71092386d5b716ba8f02,,,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\19_third_party_assurance_report\canonical-a926eb0b05f78bcfa4a232f7\document.pdf,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\lvmh\2024\19_third_party_assurance_report\document.pdf,likely_wrong_company,selected_needs_review,selected_only_available_candidate_but_likely_wrong_company,330.0,5,"[2023, 2024, 2025]",False,likely_wrong_company,QUARANTINE_LIKELY_WRONG_COMPANY,1,True,en,valid_pdf,True,0.3254,"[""Nom de l'entreprise non detecte dans l'echantillon.""]"
LVMH,lvmh,2024,17_cdp_response,CDP response,canonical_6433e2342f80e4ea22b33d6d,043619c4055d75c576e48cd8b5df9178cf7b0ce5b769899d2d48c33e5ff60567,,,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\17_cdp_response\canonical-6433e2342f80e4ea22b33d6d\document.pdf,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\lvmh\2024\17_cdp_response\document.pdf,needs_review,selected_needs_review,selected_best_available_candidate_needs_review,1225.0,871,"[2010, 2015, 2023, 2024, 2025, 2030, 2039]",False,needs_review,REVIEW_HIGH_PRIORITY_COMPANY_NOT_DETECTED,2,True,en,valid_pdf,True,3.011,"[""Nom de l'entreprise non detecte dans l'echantillon.""]"
LVMH,lvmh,2024,18_sbti_validation,SBTi validation,canonical_ca8266ef2ec56361de270468,ada723f63fd95afc284ab42f21b59f3d6d7885e16aa360ee480bda221c8b6771,,,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\lvmh\2024\18_sbti_validation\canonical-ca8266ef2ec56361de270468\document.pdf,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\lvmh\2024\18_sbti_validation\document.pdf,needs_review,selected_needs_review,selected_best_available_candidate_needs_review,1225.0,174,"[2020, 2022, 2024]",False,needs_review,REVIEW_HIGH_PRIORITY_COMPANY_NOT_DETECTED,2,True,unknown,valid_pdf,True,6.0846,"[""Nom de l'entreprise non detecte dans l'echantillon.""]"
Schneider Electric,schneider-electric,2024,05_half_year_financial_report,Half-year financial report,canonical_4348f033133985f7bca9ae0d,43e167d4fa066cf8d70c7face89ecb51059e2a0aee9da30674a12e2ae5676eb4,,,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\schneider-electric\2024\05_half_year_financial_report\canonical-4348f033133985f7bca9ae0d\document.pdf,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\schneider-electric\2024\05_half_year_financial_report\document.pdf,needs_review,selected_needs_review,selected_best_available_candidate_needs_review,1245.4,102,"[2024, 2025]",False,needs_review,REVIEW_HIGH_PRIORITY_COMPANY_NOT_DETECTED,2,True,fr,valid_pdf,True,1.5298,"[""Nom de l'entreprise non detecte dans l'echantillon.""]"
Schneider Electric,schneider-electric,2024,08_anticorruption_policy,Anti-corruption policy,canonical_446893b809f2a09f53a8b273,97d562b899055eeaddecc8808af1469c384bb62d77bab918702fdaecc5d17cc3,,,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\schneider-electric\2024\08_anticorruption_policy\canonical-446893b809f2a09f53a8b273\document.pdf,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\schneider-electric\2024\08_anticorruption_policy\document.pdf,needs_review,selected_needs_review,selected_best_available_candidate_needs_review,1200.0,20,[2023],False,needs_review,REVIEW_HIGH_PRIORITY_COMPANY_NOT_DETECTED,2,True,en,valid_pdf,True,0.2736,"[""Nom de l'entreprise non detecte dans l'echantillon.""]"
Schneider Electric,schneider-electric,2024,17_cdp_response,CDP response,canonical_8c256bbe5861948c1cbd19ff,816c7d20ecc27c264a489d5dc3fce8de799e4f1cf4c35415b6469e3f9aaf5106,,,C:\Users\hp\Desktop\ESG\ESGCorpusTaxonomy\schneider-electric\2024\17_cdp_response\canonical-8c256bbe5861948c1cbd19ff\document.pdf,C:\Users\hp\Desktop\ESG\ESGFinalCorpus\schneider-electric\2024\17_cdp_response\document.pdf,needs_review,selected_needs_review,selected_best_available_candidate_needs_review,1225.0,274,"[2023, 2024]",False,needs_review,REVIEW_HIGH_PRIORITY_COMPANY_NOT_DETECTED,2,True,en,valid_pdf,True,1.1906,"[""Nom de l'entreprise non detecte dans l'echantillon.""]"
